,cell,uniq_frags,frip,frac_open,mapping_rate,sequencing_depth,dup_level,mt_content,library_size,plate,celltype,TREATMENT
675,Immunodeficiency7828333,40178.0,0.742179,0.27588,95.03,355993,0.870891,0.003966,40359,,USM B-cells,CVID
676,Immunodeficiency7828334,37855.0,0.721677,0.253004,95.43,362418,0.873576,0.062601,40401,,Naive B-cells,CVID
677,Immunodeficiency7828335,30983.0,0.737761,0.21727399999999997,95.01,302853,0.8787959999999999,0.036927999999999996,32181,,USM B-cells,CVID
678,Immunodeficiency7828336,40018.0,0.792991,0.268416,95.59,334124,0.8637040000000001,0.006825,40324,,Naive B-cells,CVID
679,Immunodeficiency7828337,19379.0,0.8094399999999999,0.176751,95.42,179442,0.8679030000000001,0.06426799999999999,20723,,USM B-cells,CVID
680,Immunodeficiency7828338,34062.0,0.802808,0.255546,95.55,320387,0.869891,0.066078,36492,,Naive B-cells,CVID
681,Immunodeficiency7828339,16801.0,0.815627,0.15474300000000002,95.72,152295,0.863799,0.067957,18040,,USM B-cells,CVID
682,Immunodeficiency7828340,34535.0,0.763205,0.237448,94.88,322077,0.876411,0.0059299999999999995,34754,,Naive B-cells,CVID
683,Immunodeficiency7828341,12017.0,0.812199,0.12280999999999999,95.16,106143,0.861424,0.066858,12889,,USM B-cells,CVID
684,Immunodeficiency7828342,37504.0,0.778253,0.26103200000000004,95.37,347371,0.8721610000000001,0.028569999999999998,38626,,Naive B-cells,CVID
685,Immunodeficiency7828343,23205.0,0.825521,0.19768,95.23,210744,0.871541,0.006678,23373,,USM B-cells,CVID
686,Immunodeficiency7828344,40170.0,0.780166,0.26655,95.23,365150,0.873051,0.016237,40852,,Naive B-cells,CVID
687,Immunodeficiency7828345,32338.0,0.7787069999999999,0.241727,94.8,321576,0.8795120000000001,0.035752,33547,,USM B-cells,CVID
688,Immunodeficiency7828346,11878.0,0.81577,0.121169,95.76,68111,0.793808,0.046709,12576,,SM B-cells,CVID
689,Immunodeficiency7828347,26913.0,0.790032,0.214234,95.73,266358,0.884286,0.018775999999999998,27434,,USM B-cells,CONTROL
690,Immunodeficiency7828348,14273.0,0.785696,0.133653,95.34,100519,0.828831,0.062159000000000006,15271,,SM B-cells,CVID
691,Immunodeficiency7828349,15437.0,0.777169,0.14464100000000002,95.05,123926,0.850267,0.028019,15906,,USM B-cells,CONTROL
692,Immunodeficiency7828350,6995.0,0.793795,0.078699,96.08,32974,0.711076,0.166964,8737,,SM B-cells,CVID
693,Immunodeficiency7828351,26855.0,0.767798,0.215939,95.19,259516,0.880735,0.015038,27272,,USM B-cells,CONTROL
694,Immunodeficiency7828352,23860.0,0.7502909999999999,0.17971099999999998,95.08,189544,0.850174,0.041806,24938,,SM B-cells,CVID
695,Immunodeficiency7828353,5772.0,0.6352869999999999,0.052509,94.5,44492,0.8190109999999999,0.171047,6996,,USM B-cells,CONTROL
696,Immunodeficiency7828354,18155.0,0.824284,0.168739,95.67,151603,0.8484079999999999,0.058546,19315,,SM B-cells,CVID
697,Immunodeficiency7828355,35919.0,0.7804770000000001,0.250768,95.76,342333,0.88164,0.003468,36053,,USM B-cells,CONTROL
698,Immunodeficiency7828356,7523.0,0.809801,0.084941,95.1,32585,0.7030810000000001,0.09752899999999999,8708,,SM B-cells,CVID
699,Immunodeficiency7828357,26365.0,0.778253,0.211177,95.79,283833,0.884244,0.08407200000000001,28791,,USM B-cells,CONTROL
700,Immunodeficiency7828358,51691.0,0.735387,0.316919,95.45,486932,0.879024,0.007755,52111,,SM B-cells,CVID
701,Immunodeficiency7828359,4887.0,0.806515,0.058944,96.14,31369,0.778434,0.195953,6157,,USM B-cells,CONTROL
702,Immunodeficiency7828360,15213.0,0.8075439999999999,0.146668,95.13,108997,0.8360790000000001,0.019149,15551,,SM B-cells,CVID
703,Immunodeficiency7828361,31146.0,0.808519,0.2323,94.84,321304,0.8878309999999999,0.010641,31486,,USM B-cells,CONTROL
704,Immunodeficiency7828362,37704.0,0.7904,0.259407,96.03,323329,0.862669,0.046939999999999996,39593,,Naive B-cells,CVID
705,Immunodeficiency7828363,21369.0,0.787412,0.18448900000000001,95.81,204485,0.8756790000000001,0.052499000000000004,22561,,USM B-cells,CVID
706,Immunodeficiency7828364,41740.0,0.776783,0.278503,95.73,353236,0.8623649999999999,0.024697999999999998,42833,,Naive B-cells,CVID
707,Immunodeficiency7828365,42208.0,0.742351,0.279307,95.51,370100,0.869991,0.0058649999999999996,42480,,USM B-cells,CVID
708,Immunodeficiency7828366,30125.0,0.747868,0.213993,95.75,247427,0.8589399999999999,0.026782,30985,,Naive B-cells,CVID
709,Immunodeficiency7828367,20275.0,0.808,0.178182,95.54,172830,0.861716,0.033926,21005,,USM B-cells,CVID
710,Immunodeficiency7828368,41945.0,0.754309,0.272277,96.09,370514,0.8612799999999999,0.074287,45351,,Naive B-cells,CVID
711,Immunodeficiency7828369,43098.0,0.740058,0.279146,95.47,406132,0.879401,0.004711,43315,,USM B-cells,CVID
712,Immunodeficiency7828370,41018.0,0.735596,0.26877,95.71,363451,0.8721120000000001,0.006202,41294,,Naive B-cells,CVID
713,Immunodeficiency7828371,33172.0,0.739096,0.23213899999999998,95.69,311020,0.8764780000000001,0.027014,34106,,USM B-cells,CVID
